hitch_1.7.2-1+b1_amd64	work/extracted/hitch_1.7.2-1+b1_amd64/usr/sbin/hitch	libcrypto.so.3,libssl.so.3
icinga2-bin_2.13.6-2+deb12u1_amd64	work/extracted/icinga2-bin_2.13.6-2+deb12u1_amd64/usr/lib/x86_64-linux-gnu/icinga2/sbin/icinga2	libcrypto.so.3,libssl.so.3
icinga2-bin_2.13.6-2+deb12u1_amd64	work/extracted/icinga2-bin_2.13.6-2+deb12u1_amd64/usr/lib/nagios/plugins/check_nscp_api	libcrypto.so.3,libssl.so.3
idevicerestore_1.0.0-3+b1_amd64	work/extracted/idevicerestore_1.0.0-3+b1_amd64/usr/bin/idevicerestore	libcrypto.so.3
ike-scan_1.9.5-1+b1_amd64	work/extracted/ike-scan_1.9.5-1+b1_amd64/usr/bin/ike-scan	libcrypto.so.3
ike-scan_1.9.5-1+b1_amd64	work/extracted/ike-scan_1.9.5-1+b1_amd64/usr/bin/psk-crack	libcrypto.so.3
istgt_0.4~20111008-4+b1_amd64	work/extracted/istgt_0.4~20111008-4+b1_amd64/usr/sbin/istgt	libcrypto.so.3
istgt_0.4~20111008-4+b1_amd64	work/extracted/istgt_0.4~20111008-4+b1_amd64/usr/sbin/istgtcontrol	libcrypto.so.3
jami-daemon_20230206.0~ds2-1.1_amd64	work/extracted/jami-daemon_20230206.0~ds2-1.1_amd64/usr/libexec/jamid	libcrypto.so.3
kea-ctrl-agent_2.2.0-6_amd64	work/extracted/kea-ctrl-agent_2.2.0-6_amd64/usr/sbin/kea-ctrl-agent	libcrypto.so.3
libcaf-openssl0.17_0.17.6-2.1+b1_amd64	work/extracted/libcaf-openssl0.17_0.17.6-2.1+b1_amd64/usr/lib/x86_64-linux-gnu/libcaf_openssl.so.0.17.6	libcrypto.so.3,libssl.so.3
libcjose0_0.6.2.1-1+deb12u1_amd64	work/extracted/libcjose0_0.6.2.1-1+deb12u1_amd64/usr/lib/x86_64-linux-gnu/libcjose.so.0.0.0	libcrypto.so.3
libcpp-httplib0.11_0.11.4+ds-1+deb12u1_amd64	work/extracted/libcpp-httplib0.11_0.11.4+ds-1+deb12u1_amd64/usr/lib/x86_64-linux-gnu/libcpp-httplib.so.0.11.4	libcrypto.so.3,libssl.so.3
libcrypt-openssl-bignum-perl_0.09-2+b1_amd64	work/extracted/libcrypt-openssl-bignum-perl_0.09-2+b1_amd64/usr/lib/x86_64-linux-gnu/perl5/5.36/auto/Crypt/OpenSSL/Bignum/Bignum.so	libcrypto.so.3
libcyrus-imap-perl_3.6.1-4+deb12u3_amd64	work/extracted/libcyrus-imap-perl_3.6.1-4+deb12u3_amd64/usr/lib/x86_64-linux-gnu/perl5/5.36/auto/Cyrus/IMAP/IMAP.so	libcrypto.so.3,libssl.so.3
libcyrus-imap-perl_3.6.1-4+deb12u3_amd64	work/extracted/libcyrus-imap-perl_3.6.1-4+deb12u3_amd64/usr/lib/x86_64-linux-gnu/perl5/5.36/auto/Cyrus/SIEVE/managesieve/managesieve.so	libcrypto.so.3,libssl.so.3
libeiskaltdcpp2.4_2.4.2-1+b2_amd64	work/extracted/libeiskaltdcpp2.4_2.4.2-1+b2_amd64/usr/lib/libeiskaltdcpp.so.2.4	libcrypto.so.3,libssl.so.3
libesmtp6_1.1.0-3.1~deb12u1_amd64	work/extracted/libesmtp6_1.1.0-3.1~deb12u1_amd64/usr/lib/x86_64-linux-gnu/libesmtp.so.6.2.0	libcrypto.so.3,libssl.so.3
libesmtp6_1.1.0-3.1~deb12u1_amd64	work/extracted/libesmtp6_1.1.0-3.1~deb12u1_amd64/usr/lib/x86_64-linux-gnu/esmtp-plugins-6.2.0/sasl-crammd5.so	libcrypto.so.3
libesmtp6_1.1.0-3.1~deb12u1_amd64	work/extracted/libesmtp6_1.1.0-3.1~deb12u1_amd64/usr/lib/x86_64-linux-gnu/esmtp-plugins-6.2.0/sasl-ntlm.so	libcrypto.so.3
libfalcosecurity0_0.1.1dev+git20220316.e5c53d64-5.1_amd64	work/extracted/libfalcosecurity0_0.1.1dev+git20220316.e5c53d64-5.1_amd64/usr/lib/x86_64-linux-gnu/libsinsp.so.0.1.1dev+git20220316.e5c53d64	libcrypto.so.3,libssl.so.3
libglobus-ftp-client2_9.8-2_amd64	work/extracted/libglobus-ftp-client2_9.8-2_amd64/usr/lib/x86_64-linux-gnu/libglobus_ftp_client.so.2.7.8	libcrypto.so.3
libglobus-gsi-credential1_8.3-2_amd64	work/extracted/libglobus-gsi-credential1_8.3-2_amd64/usr/lib/x86_64-linux-gnu/libglobus_gsi_credential.so.1.7.3	libcrypto.so.3
libglobus-gsi-sysconfig1_9.5-2_amd64	work/extracted/libglobus-gsi-sysconfig1_9.5-2_amd64/usr/lib/x86_64-linux-gnu/libglobus_gsi_sysconfig.so.1.8.5	libcrypto.so.3
libglobus-gssapi-gsi4_14.20-2_amd64	work/extracted/libglobus-gssapi-gsi4_14.20-2_amd64/usr/lib/x86_64-linux-gnu/libglobus_gssapi_gsi.so.4.10.20	libcrypto.so.3,libssl.so.3
libglobus-openssl-module0_5.2-2_amd64	work/extracted/libglobus-openssl-module0_5.2-2_amd64/usr/lib/x86_64-linux-gnu/libglobus_openssl.so.0.5.2	libcrypto.so.3,libssl.so.3
libiperf0_3.12-1+deb12u1_amd64	work/extracted/libiperf0_3.12-1+deb12u1_amd64/usr/lib/x86_64-linux-gnu/libiperf.so.0.0.0	libcrypto.so.3
